# Constructed from biom file
#OTU ID	Cactaceae	Amaranthaceae	Capparaceae	Chenopodiaceae	Poaceae
000245bca15e4c48d19ae6a96cd77565	5.0	0.0	0.0	0.0	0.0
0005b66248becbd12d510e9bcadc5bd0	0.0	32.0	0.0	0.0	0.0
00064e837b82fa00646445081cc33681	2.0	0.0	0.0	0.0	0.0
0008fb84fe5bc18afdae618edcac9595	0.0	10.0	0.0	0.0	0.0
001044bddad07c5b3aa1cd19a36cbfff	15.0	0.0	0.0	0.0	0.0
001293626047cb359bc4f821c2f87f7e	2.0	0.0	0.0	0.0	0.0
0012d008c3d9bf6c746ea4f3801fa690	15.0	0.0	0.0	0.0	0.0
00180e95063c093960190667f73e8f95	0.0	6.0	0.0	0.0	0.0
001b30527524a7da2bbc97d370443717	46.0	0.0	0.0	0.0	0.0
001ce3f3f52e949bafc9b84fb30ee226	6.0	0.0	0.0	0.0	0.0
001d86ab01286ff7ef5472f6907ea546	73.0	0.0	0.0	0.0	0.0
001de96ff00fbe02b2c9b3816a3ef25f	0.0	206.0	0.0	0.0	0.0
001e66056f889d4ea753330613c22c24	10.0	0.0	0.0	0.0	0.0
002339c0ed4bbfea31a8695fa5b5772a	7.0	0.0	0.0	0.0	0.0
0026847e01facf890d4096b3d822358b	191.0	0.0	0.0	0.0	0.0
0027ff6cea4a34cd937ffce05f7a4409	7.0	0.0	0.0	0.0	0.0
002a43c1b111dc485387ad2308de26d6	31.0	0.0	0.0	0.0	0.0
002b115e74c120c9aa1c93d8ca8eac52	22.0	0.0	0.0	0.0	0.0
003140a1c998ec2c0542552533af9b71	0.0	39.0	0.0	0.0	0.0
00317ea9be1e63f51405ccb4beb9dfa8	45.0	0.0	0.0	0.0	0.0
00368d5c0fc800538fcaeeb223a355e1	0.0	174.0	0.0	0.0	0.0
003acb0148e9e03fd4360cab85113cbe	10.0	0.0	0.0	0.0	0.0
003d9897a75ee4375ec2a5aa306c9fc3	4.0	0.0	0.0	0.0	0.0
003e5e96c232e26ae34f87f0f606ad72	94.0	0.0	0.0	0.0	0.0
004317fe5ce167f7ad9df23c44736763	0.0	12.0	0.0	0.0	0.0
004347cf9ef8b7d16c1ffdc471676fc8	15.0	0.0	0.0	0.0	0.0
00466aecc639ae73fbcbc46782a3d9b4	4.0	0.0	0.0	0.0	0.0
004aa28c0ca4eb1b46a27dc137d28d7d	11.0	0.0	0.0	0.0	0.0
004c1b3f712fd739f030c95dabe72d86	0.0	12.0	0.0	0.0	0.0
004d6e3f149e14f302af0b040c6f7aeb	0.0	0.0	0.0	0.0	66.0
004ed1f0a22d9b9921c135c8d17eeae4	566.0	0.0	0.0	0.0	0.0
004ee9c51992b40a40255842ebfce454	29.0	0.0	0.0	0.0	0.0
004fb0d0c5a9274a6f51b11cdaeb2822	0.0	12.0	0.0	0.0	0.0
0050fb438c02ecb5f7f1d85c24011526	0.0	12.0	0.0	0.0	0.0
0053831100d1301e77c6dffd6ba4db5d	242.0	0.0	0.0	0.0	0.0
005497673d26b8a739bf54bf47fd26cd	0.0	9.0	0.0	0.0	0.0
0054c30ce82aeef6ab584a1fea23a1bd	0.0	284.0	0.0	0.0	0.0
005518ea44c429355b0dda3772f28faf	12.0	0.0	0.0	0.0	0.0
0056dfcf00de4f320c7fc7c014b8873c	22.0	0.0	0.0	0.0	0.0
0059004511c75749aefd63c92b1dfdac	6.0	0.0	0.0	0.0	0.0
005adaccab0abfd5349159c0364d8595	51.0	0.0	0.0	0.0	0.0
005c71b51279d6e939e2a9c8127bddbd	0.0	111.0	0.0	0.0	0.0
006032f536250d451ec949404287e464	0.0	9.0	0.0	0.0	0.0
00654bf7df2bc0e26ed10a22b6a1fd6d	49.0	0.0	0.0	0.0	0.0
0066b74adc79d0342529b64555043a66	117.0	0.0	0.0	0.0	0.0
0070a947a2af99fe02e700b52a791fe5	1683.0	0.0	0.0	0.0	0.0
00775f2e284a33a49654d18ea8c94b92	33.0	0.0	0.0	0.0	0.0
007c733a0ce7e3bcf898d98b511f9a04	0.0	17.0	0.0	0.0	0.0
007d7ca33348ed49251ad225897c75a8	0.0	52.0	0.0	0.0	0.0
007ebd33ef471c37725091e57870d8f9	5.0	0.0	0.0	0.0	0.0
007ff2c16a7b170b38c52d6413fa94a7	152.0	0.0	0.0	0.0	0.0
008186b13a8f4ddd88a3bfdccb9103f0	4.0	0.0	0.0	0.0	0.0
00820715ef15ec4a32ea35cf64fac276	8.0	0.0	0.0	0.0	0.0
008402f3a6ec4df21f29d89e68da67aa	15.0	0.0	0.0	0.0	0.0
008681ebacaa5bf9a4d4cc3d8203f241	0.0	37.0	0.0	0.0	0.0
00874a084a732960c475997fd49979e6	20.0	3.0	0.0	0.0	0.0
00891c5ac5802dafd35714249911d048	0.0	16.0	0.0	0.0	0.0
0089c073c0adfc0327c89602d3bd4e1b	0.0	0.0	0.0	55.0	0.0
008b4a572fde637df8029f1c76b829a6	7.0	0.0	0.0	0.0	0.0
008c835cdd1c2a53d7731ea1dc732b39	14.0	0.0	0.0	0.0	0.0
009016e2237e0c17d269187553c9cfe8	10.0	0.0	0.0	0.0	0.0
0099b7982124a236160db3dc745b7fd8	14.0	0.0	0.0	0.0	0.0
009e9ca0d9ecf319055d0f8d8efa20f7	20.0	0.0	0.0	0.0	0.0
009fd5f0d4399f0c96bcda2eabde2109	71.0	0.0	0.0	0.0	0.0
00a00956af373272725d0cbf1b14aa4c	12.0	0.0	0.0	0.0	0.0
00a1db47703639c0ce4679c0e227595a	128.0	0.0	0.0	0.0	0.0
00a6040427b617616c82efb5fe1576a8	0.0	4.0	0.0	0.0	0.0
00a6f38a9af3afe8b3caa1f35e189e72	78.0	0.0	0.0	0.0	0.0
00aae5cf131b3e11c82e2ea4795ce893	0.0	84.0	0.0	0.0	0.0
00ac37ae4b38db200cda0df60cfb0096	3.0	0.0	0.0	0.0	0.0
00aeedda29ab3ced2ccad43eba1e10d5	509.0	0.0	0.0	0.0	0.0
00afe2b45bba5ca5dece7ab9bd7d720f	0.0	23.0	0.0	0.0	0.0
00b1cf1e1460f34ebbe581881121168d	33.0	0.0	0.0	0.0	0.0
00b2c3030b3c5e10e885bec2a9868dfb	0.0	32.0	0.0	0.0	0.0
00b76ad8474871ef4cfc5a9622e4b909	12.0	0.0	0.0	0.0	0.0
00b79b5bde006650f8ab0d6806bd7aca	13.0	0.0	0.0	0.0	0.0
00b82f58011c2f6dc284a5a2aae55d4a	31.0	0.0	0.0	0.0	0.0
00b98f99c8253b402602683169c0381a	4.0	0.0	0.0	0.0	0.0
00b993b1d49036cdcfacca991ad8db40	14.0	0.0	0.0	0.0	0.0
00baab1349a9523ab4def92924056129	2.0	0.0	0.0	0.0	0.0
00bcaeb0250c98684f87ec687e506cdc	3.0	0.0	0.0	0.0	0.0
00bd35b0ac5ce40e6db9e68a1ffc5271	7.0	0.0	0.0	0.0	0.0
00beafd2d393d2474239b0d9aff991d3	0.0	19.0	0.0	0.0	0.0
00c2a8476d1c151e3e7d028078ae8d32	183.0	0.0	0.0	0.0	0.0
00c5ad9d197d763a0e9db49ff74b731a	0.0	2.0	0.0	0.0	0.0
